date,state,positive,new_positive,negative,death,new_death,hospitalized
20200721,Alaska,2525,111,176101,18,0,
20200721,Alabama,70358,1467,530023,1303,12,8538
20200721,Arkansas,34655,728,404980,374,17,2257
20200721,American Samoa,0,0,1037,0,0,
20200721,Arizona,148683,3500,658983,2918,134,6894
20200721,California,400769,9231,6136163,7755,61,
20200721,Colorado,40566,424,410733,1615,0,6057
20200721,Connecticut,48096,41,614741,4406,0,10654
20200721,Washington DC,11427,88,144284,580,1,
20200721,Delaware,13746,227,144601,525,2,
20200721,Florida,369834,9440,2729916,5319,136,22123
20200721,Georgia,148988,3413,1146303,3254,78,15494
20200721,Guam,327,8,18430,5,0,
20200721,Hawaii,1393,12,105390,24,0,150
20200721,Iowa,39474,308,382959,802,5,
20200721,Idaho,15266,393,135805,122,3,621
20200721,Illinois,164878,955,2145151,7517,23,
20200721,Indiana,57916,710,586889,2846,21,7941
20200721,Kansas,23334,0,238197,307,0,1497
20200721,Kentucky,24060,646,484633,674,3,2900
20200721,Louisiana,96583,1691,1026379,3608,36,
20200721,Massachusetts,114033,244,945148,8450,17,11746
20200721,Maryland,79545,860,684822,3402,20,11949
20200721,Maine,3723,12,138520,118,1,377
20200721,Michigan,83059,664,1446316,6382,9,
20200721,Minnesota,47457,350,829402,1588,3,4723
20200721,Missouri,34762,1138,545558,1143,11,
20200721,MP,38,1,11055,2,0,4
20200721,Mississippi,45524,1635,349674,1389,31,3797
20200721,Montana,2712,91,138290,40,1,174
20200721,North Carolina,102861,1815,1356136,1668,26,
20200721,North Dakota,5207,81,132086,84,2,309
20200721,Nebraska,22847,264,215594,306,5,1502
20200721,New Hampshire,6249,46,138573,398,0,673
20200721,New Jersey,177256,293,1640699,15737,22,21099
20200721,New Mexico,17215,244,459282,578,7,2399
20200721,Nevada,37528,815,361294,676,28,
20200721,New York,408181,855,4822800,25058,2,89995
20200721,Ohio,77215,1047,1122808,3219,30,9736
20200721,Oklahoma,26326,893,472057,461,9,2403
20200721,Oregon,15139,292,330124,269,7,1406
20200721,Pennsylvania,102765,1027,952998,7038,20,
